Drug,MATS3c,MATS5v,GATS2c,GATS5c,nBase,Kier1,nAtomP,MLFER_BO,MPC6,nFRing,nF8HeteroRing,RotBtFrac,GGI6,JGI10,JGT,MWC9,WPATH
D02409,0.689399,0.324705,0.334892,0.434875,0,0.094791,0.55,0.425701,0.144654,0.015152,0,0.166667,0,0,0.438183,0.665984,0.007191
D02461,0.776751,0.628648,0.250436,0.5301,0,0.220175,0.3,0.710772,0.286164,0.015152,0,0.291667,0.215756,0.593062,0.62639,0.792949,0.036579
D02485,0.529519,0.740178,0.221658,0.318282,0.4,0.388155,0.7,0.202286,0.455975,0.045455,0,0.52381,0.410725,0.667138,0.496688,0.808324,0.095445
D02546,0.772861,0.68339,0.229687,0.482006,0.2,0.138635,0.15,0.290959,0.100629,0,0,0.444444,0,0,0.517414,0.584196,0.010014
D02566,0.758719,0.617275,0.460902,0.255537,0.2,0.164701,0.3,0.272255,0.437107,0.121212,0,0.175347,0.119439,0,0.221964,0.812991,0.023594
D02630,0.728015,0.740178,0.255805,0.127846,0.4,0.412366,0.3,0.214409,0.377358,0,0,0.358974,0.392748,0.701574,0.577456,0.805483,0.136957
D02914,0.682544,0.740178,0.267758,0.445669,0,0.331196,0.55,0.554555,0.345912,0,0,0.497126,0.365021,0.321555,0.318716,0.765662,0.054081
D03037,0.69159,0.740178,0.252271,0.128023,0.8,0.345505,0.95,0.299965,0.264151,0,0,0.255952,0.198405,0.509331,0.374396,0.742758,0.110748
D03180,0.293403,0.610697,0.161711,0.465186,0,0.138635,0.4,0.322134,0.084906,0,0,0.375,0.030165,0,0.750523,0.64756,0.009152
D03274,0.709219,0.740178,0.257988,0.345804,0.4,0.186969,0.65,0.134742,0.27673,0.045455,0,0.275362,0.187995,0,0.289196,0.7039,0.026149
D03450,0.733025,0.832936,0.434388,0.588764,0.4,0.236844,0.25,0.201247,0.185535,0,0,0.238782,0.104577,0.111551,0.009115,0.646372,0.04279
D03742,0.687615,0.706387,0.513042,0.328099,0.4,0.148633,0.35,0.148597,0.418239,0.090909,1,0.094203,0.105424,0,0.400602,0.803408,0.01979
D03826,0.667848,0.518035,0.348015,0.246853,0.4,0.170441,0.55,0.281607,0.298742,0.045455,1,0.289773,0.175858,0,0.613759,0.789879,0.022108
D03830,0.82656,0.786411,0.465108,0.43132,0.4,0.320671,0.45,0.491514,0.380503,0.015152,0,0.327957,0.407153,0.381036,0.384784,0.764028,0.061243
D03878,0.670384,0.617029,0.394442,0.419971,0.2,0.101055,0.3,0.08417,0.342767,0.090909,0,0.010417,0.025628,0,0.286549,0.78119,0.012243
D03991,0.711999,0.848348,0.43036,0.354788,0.4,0.270287,0.8,0.31001,0.204403,0,0,0.293155,0.137416,0.317629,0.27711,0.668684,0.055062
D04034,0.671397,0.781357,0.160292,0.271012,0,0.236844,0.45,0.417042,0.264151,0,0,0.238782,0.285801,0,0.315853,0.715345,0.036431
D04790,0.732847,0.726039,0.286348,0.446715,0,0.314174,0.15,0.509179,0.264151,0.015152,0,0.553571,0.26515,0.553371,0.634674,0.756635,0.063115
D04985,0.279255,0.6038,0.223341,0.423341,0,0.207138,0.4,0.384482,0.138365,0,0,0.287281,0.128885,0,0.651296,0.702065,0.01872
D04999,0.599005,0.731383,0.373349,0.642681,0.2,0.144915,0.3,0.180811,0.113208,0,0,0.247685,0.104205,0,0.099743,0.586199,0.014323
D05024,0.726062,0.635462,0.424195,0.490974,0.4,0.412366,0.45,0.428126,0.418239,0.030303,0,0.412393,0.442752,0.540546,0.46982,0.824904,0.129498
D05077,0.625363,0.805269,0.375807,0.463268,0.4,0.312239,0.95,0.415656,0.380503,0.045455,0,0.242424,0.293723,0.368375,0.23174,0.772345,0.073812
D05156,0.661836,0.663534,0.602924,0.35488,0.4,0.061728,0.3,0.155178,0.066038,0,0,0.11859,0.024054,0,0.095503,0.510219,0.0052
D05453,0.693474,0.689137,0.591828,0.368913,0.4,0.137575,0.3,0.064773,0.176101,0,0,0.0625,0.087751,0,0.0674,0.678484,0.015838
D05458,0.411884,0.454361,0.184852,0.532525,0,0.070307,0.3,0.064773,0.031447,0,0,0.431818,0.04479,0,0.54255,0.401902,0.004279
D05461,0.617881,0.658843,0.331855,0.427031,0.2,0.220175,0.75,0.569103,0.31761,0.015152,0,0.208333,0.234004,0.515901,0.414757,0.74844,0.032687
D06106,0.37003,0.66866,0.228593,0.521963,0,0.172873,0.4,0.530655,0.110063,0,0,0.387255,0.083181,0,0.667763,0.665634,0.01355
D06172,1,0.683829,0.262632,0.312395,0,0.121531,0.45,0.210946,0.066038,0,0,0.479167,0.045704,0,0.5453,0.512764,0.008558
