Drug,nAcid,nH1,nS1,MATS1c,MATS2m,GATS2i,nBondsD,Kier2,khs.dNH,khs.aaN,TpiPC,MWC8,SRW3
D01276,0.090909,0.463636,0,0.407761,0.602502,0.583272,0.65,0.532778,0,0.25,0.668104,0.62284,0
D01325,0.181818,0.1,0.125,0.486124,0.605713,0.495311,0.35,0.121734,0,0,0.54022,0.423249,0
D01332,0.090909,0.163636,0.125,0.884403,0.486497,0.435907,0.35,0.122891,0,0,0.670581,0.543749,0
D01346,0.181818,0.172727,0,0.40166,0.351334,0.660248,0.6,0.277245,0,0,0.582482,0.502061,0
D01364,0.090909,0.145455,0,0.601288,0.505324,0.670989,0.2,0.080605,0,0,0.432444,0.397877,0
D01367,0.090909,0.254545,0,0.568674,0.729863,0.565792,0.2,0.110366,0,0,0.583677,0.696726,0
D01370,0.090909,0.1,0,0.454515,0.488955,0.590817,0.2,0.094532,0,0.75,0.623776,0.511013,0
D01397,0.090909,0.181818,0.125,0.337386,0.727775,0.509525,0.55,0.254021,0,0.25,0.656713,0.587769,0
D01425,0.090909,0.427273,0,0.465083,0.456943,0.630209,0.6,0.481735,0,0,0.578448,0.599415,0
D01432,0.090909,0.172727,0,0.503764,0.722714,0.492538,0.5,0.156564,0,0.25,0.887894,0.697646,0
D01441,0.090909,0.272727,0,0.555772,0.464794,0.533064,0.65,0.324126,0,0.75,0.722576,0.569741,0
D01475,0.090909,0.163636,0,0.407701,0.661575,0.507392,0.4,0.206461,0,0,0.643858,0.468799,0
D01513,0.181818,0.145455,0,0.432958,0.581257,0.60119,0.25,0.127807,0,0,0.431245,0.336854,0
D01547,0.181818,0.118182,0.125,0.50505,0.611708,0.469441,0.4,0.126832,0,0,0.65372,0.498239,0
D01549,0.181818,0.245455,0,0.384366,0.562263,0.630504,0.35,0.273168,0,0,0.468764,0.523571,0
D01565,0.090909,0.354545,0,0.607905,0.426349,0,0.6,0.410949,0,0,0.659388,0.595719,0
D01578,0.181818,0.109091,0,0.404119,0.588699,0.535745,0.35,0.104271,0,0.25,0.646791,0.478812,0
D01582,0.181818,0.154545,0,0.613725,0.426349,0,0.5,0.230713,0,0,0.648904,0.570839,0
D01665,0.090909,0.190909,0,0.519608,0.26276,0.9329,0,0.121734,0,0,0.291836,0.456718,0
D01667,0.181818,0.290909,0,0.493308,0.452655,0.656073,0.45,0.320376,0,0,0.538222,0.543278,0
D01688,0.181818,0.109091,0.25,0.423552,0.817564,0.530987,0.4,0.16379,0,0,0.554053,0.449188,0
D01690,0.090909,0.218182,0,0.589925,0.51195,0.555986,0.4,0.218413,0,0,0.608567,0.553264,0
D01704,0.181818,0.218182,0,0.54067,0.460926,0.585824,0.2,0.18423,0,0,0.561466,0.528074,0
D01709,0.181818,0.154545,0,0.483673,0.458633,0.607724,0.25,0.121734,0,0,0.479482,0.408999,0
D01712,0.090909,0.063636,0,0.343,0.897697,0.336963,0.2,0.038242,0,0.25,0.431112,0.432902,0
D01715,0.090909,0.181818,0.125,0.506936,0.618912,0.617161,0.25,0.198593,0,0,0.530717,0.458652,0
D01718,0.181818,0.145455,0,0.63911,0.562768,0.508879,0.45,0.197016,0,0.25,0.766779,0.521474,0
D01765,0.090909,0.536364,0,0.608216,0.426349,0,0.75,0.663182,0,0,0.675005,0.671244,0
D01767,0.090909,0.090909,0.25,0.467927,0.525294,0.49449,0.45,0.122891,0,0.25,0.608194,0.54942,0
D01811,0.090909,0.054545,0,0.378051,0.48366,0.601393,0.2,0.041315,0,0,0.321646,0.246656,0
D01825,0.090909,0.263636,0,0.592163,0.706821,0.558346,0.2,0.137438,0,0,0.622042,0.748371,0
D01828,0.181818,0.118182,0,0.430117,0.824719,0.497115,0.4,0.122891,0,0.25,0.694987,0.539031,0
D01840,0.090909,0.154545,0.125,0.57264,0.527812,0.540902,0.35,0.120883,0,0.25,0.633044,0.497119,0
D01842,0.090909,0.081818,0,0.378137,0.558159,0.552802,0.3,0.0922,0,0,0.570103,0.556543,0
D01844,1,0.472727,1,0.335874,0.236632,0.604154,0.9,0.791881,0,0,0.651865,0.805786,0
D01862,0.181818,0.209091,0,0.50715,0.35087,0.602894,0.5,0.24152,0,0.25,0.795027,0.583743,1
D01866,0.090909,0.081818,0.25,0.622471,0.426349,0,0.45,0.129192,0,0.25,0.588247,0.563103,0
D01885,0.090909,0.336364,0,0.596552,0.540331,0.574344,0.45,0.324728,0,0,0.748054,0.714983,0
D01888,0.090909,0.154545,0,0.645025,0.464855,0.539809,0.15,0.093257,0,0,0.444683,0.367484,0
D01900,0.181818,0.227273,0.125,0.431199,0.487387,0.681713,0.35,0.269378,0,0,0.467714,0.494377,0
D01907,0.272727,0.109091,0,0.302161,0.313941,0.451262,0.25,0.135527,0,0.75,0.641049,0.556673,0
D01911,0.090909,0.481818,0,0.59493,0.585256,0.570774,0.5,0.444897,0,0,0.758817,0.758285,0
D01915,0.181818,0.245455,0.125,0.403114,0.53826,0.556,0.5,0.290826,0,0.5,0.725432,0.56067,0
D01918,0.181818,0.190909,0.125,0.339928,0.676888,0.576928,0.55,0.248877,0,0,0.603827,0.530442,0
D01966,0.090909,0.181818,0,0.514141,0.340385,0.570052,0.5,0.224052,0,0,0.630897,0.581145,0
D01968,0.454545,0.081818,0,0.369362,0.442756,0.672407,0.2,0.066289,0,0.25,0.354076,0.463469,0
D01973,0.090909,0.236364,0.125,0.730395,0.406672,0.596074,0.45,0.184131,0,0,0.662398,0.543236,0
D01974,0.090909,0.163636,0.125,0.427449,0.529206,0.558024,0.35,0.138963,0,0.25,0.691283,0.527939,0
D01977,0.090909,0.218182,0,0.601043,0.426349,0,0.4,0.267346,0,0.5,0.657047,0.544301,0
D01981,0.090909,0.318182,0,0.477663,0.368274,0.678693,0.35,0.340164,0.5,0,0.505569,0.548666,0
D01984,0.090909,0.163636,0.125,0.656237,0.663566,0.558758,0.4,0.16669,0,0.5,0.66541,0.520464,0
D02008,0.090909,0.163636,0,0.549425,0.497517,0.541337,0.45,0.151223,0,0,0.768036,0.647732,0
D02017,0.090909,0.063636,0,0.343,0.897697,0.336963,0.2,0.038242,0,0.25,0.431112,0.432902,0
D02042,0.090909,0.081818,0,0.579592,0.583484,0.534743,0.35,0.104271,0,0.25,0.678028,0.483199,0
D02068,0.090909,0.118182,0,0.530047,0.508942,0.62935,0.25,0.059879,0,0.25,0.631597,0.450597,0
D02110,0.181818,0.136364,0,0.616773,0.426349,0,0.45,0.172415,0,0,0.639339,0.558169,0
D02115,0.272727,0.190909,0,0.350484,0.632038,0.623156,0.55,0.290826,0,1,0.686317,0.549083,0
D02166,0.090909,0.263636,0,0.585099,0.356986,0.65573,0.4,0.30084,0,0,0.685713,0.595242,0
D02168,0.090909,0.209091,0,0.533351,0.699405,0.500829,0.45,0.172238,0,0.25,0.802993,0.660402,0
D02173,0.090909,0.190909,0,0.676179,0.507686,0.494681,0.2,0.090837,0,0,0.631973,0.594678,0
D02176,0.181818,0.136364,0,0.550738,0.572842,0.474492,0.05,0.060543,0,0,0.122853,0.210658,0
D02193,0.090909,0.2,0.125,0.395747,0.781213,0.452535,0.05,0.124817,0,0,0.193491,0.302326,0
D02194,0.272727,0.236364,0.125,0.336104,0.403345,0.730762,0.2,0.222188,0,0,0.354644,0.463677,1
D02214,0.090909,0.263636,0,0.587374,0.579728,0.561283,0.45,0.258462,0,0,0.744788,0.697822,0
D02229,0.090909,0.272727,0.125,0.592014,0.708517,0.592143,0.45,0.241444,0,0.25,0.683571,0.619997,0
D02258,0.181818,0.309091,0,0.548894,0.464299,0.603856,0.65,0.384859,0,0,0.714422,0.634478,0
D02267,0.363636,0.018182,0,0.241004,0,1,0.1,0,0,0,0.046596,0.109952,0
D02289,0.090909,0.281818,0,0.615908,0.628307,0.569473,0.15,0.110111,0,0,0.544444,0.647512,0
D02290,0.181818,0.109091,0,0.45074,0.487735,0.504664,0.35,0.121734,0,0,0.631042,0.425213,0
D02304,0.181818,0.136364,0,0.309774,0.402002,0.865043,0.05,0.10374,0,0,0.101539,0.099739,0
D02308,0.272727,0.027273,0,0.215674,0.508081,0.788447,0.15,0.055363,0,0,0.122853,0.013,0
D02315,0.181818,0.3,0,0.432904,0.149026,0.781031,0.1,0.403498,0,0,0.262692,0.187818,0
D02321,0.090909,0.163636,0.125,0.537202,0.298839,0.629243,0.6,0.190098,0,0.25,0.793392,0.568489,0
D02323,0.181818,0.118182,0.125,0.493863,0.726421,0.314758,0.35,0.16669,0,0,0.677809,0.538989,0
D02328,0.181818,0.1,0.125,0.487354,0.640873,0.411757,0.5,0.186012,0,0.25,0.715901,0.585068,0
D02333,0.090909,0.527273,0,0.508489,0.764066,0.606561,1,0.650886,0,0,0.762473,0.804411,0
D02335,0.090909,0.063636,0,0.646877,0.629073,0.483585,0.3,0.0472,0,0,0.511896,0.400832,0
D02341,0.181818,0.090909,0,0.632073,0.426349,0,0.35,0.126972,0,0,0.544272,0.448716,0
D02342,0.090909,0.281818,0,0.653605,0.383123,0.663544,0.15,0.279332,0,0,0.435833,0.353338,0
D02350,0.181818,0.118182,0,0.443035,0.470999,0.61009,0.35,0.135679,0,0,0.549013,0.39071,0
D02355,0.181818,0.127273,0,0.532723,0.664482,0.554246,0.35,0.126972,0,0,0.559736,0.447587,0
D02356,0.090909,0.345455,0,0.747871,0.542467,0.449738,0.3,0.336618,0,0,0.545058,0.550598,0
D02368,0.090909,0.090909,0,0.473811,0.471496,0.577051,0.15,0.088206,0,0,0.429481,0.502625,0
D02375,0.090909,0.227273,0,0.799503,0.528058,0.464255,0.3,0.182867,0,0,0.606933,0.43373,0
D02418,0.090909,0.190909,0,0.380505,0.722257,0.430844,0.2,0.0922,0,0,0.575424,0.567977,0
D02441,0.090909,0.081818,0.25,0.443979,0.742511,0.570929,0.3,0.075709,0,0.25,0.611011,0.439524,0
D02451,0.090909,0.109091,0,0.694454,0.335392,0.544866,0.25,0.092205,0,0.25,0.582926,0.449793,0
D02487,0.090909,0.136364,0,0.59133,0.426349,0,0.25,0.148282,0,0,0.445043,0.326023,0
D02556,0.090909,0.145455,0.125,0.625274,0.468117,0.496149,0.5,0.229777,0,0.75,0.719962,0.58799,0
D02558,0.090909,0.2,0,0.381109,0.660319,0.453725,0.2,0.151402,0,0,0.439496,0.378816,0
D02559,0.090909,0.109091,0,0.383316,0.512507,0.556629,0.2,0.080605,0,0,0.444584,0.401636,0
D02560,0.090909,0.145455,0,0.603997,0.426349,0,0.2,0.098193,0,0,0.541313,0.472261,0
D02561,0.090909,0.154545,0,0.609645,0.426349,0,0.2,0.151402,0,0,0.391611,0.356864,0
D02562,0.090909,0.118182,0,0.603581,0.262242,0.609123,0.15,0.069802,0,0,0.437301,0.361632,0
D02563,0.090909,0.154545,0,0.482677,0.555306,0.403321,0.2,0.192063,0,0,0.508827,0.474797,0
D02564,0.090909,0.118182,0,0.774836,0.202498,0.513154,0.15,0.099818,0,0,0.353392,0.223195,0
D02566,0.090909,0.2,0,0.819,0.421981,0.484079,0.3,0.107294,0,0,0.676534,0.586796,0
D02579,0.090909,0.118182,0,0.613053,0.478504,0.68826,0.2,0.101401,0,0.25,0.354174,0.259108,0
D02580,0.090909,0.118182,0,0.717786,0.471312,0.673384,0.3,0.131487,0,0.25,0.443159,0.356142,0
D02581,0.090909,0.154545,0,0.529034,0.386762,0.49061,0.35,0.210882,0,0,0.585942,0.486564,0
D02655,0.090909,0.163636,0,0.67359,0.815991,0.670001,0.3,0.16379,0,0.5,0.647224,0.488483,0
D02671,0.090909,0.236364,0.25,0.800452,0.454263,0.575167,0.35,0.178233,0,0,0.673782,0.549675,0
D02698,0.090909,0.281818,0.125,0.597362,0.370888,0.488151,0.45,0.312181,0,0,0.732897,0.723952,0
D02709,0.090909,0.118182,0.125,0.50311,0.449068,0.546578,0.5,0.132863,0,0.25,0.75551,0.512658,0
D02729,0.090909,0.236364,0,0.642498,0.473237,0.456381,0.35,0.262877,0,0,0.545047,0.454437,0
D02731,0.090909,0.290909,0.125,0.554619,0.714635,0.632614,0.45,0.258454,0,0.25,0.67329,0.62331,0
D02756,0.090909,0.481818,0,0.59493,0.585256,0.570774,0.5,0.444897,0,0,0.758817,0.758285,0
D02769,0.272727,0.118182,0,0.33794,0.287015,0.56298,0.25,0.129192,0,0.75,0.625924,0.544232,0
D02835,0.181818,0.072727,0,0.438456,0.473493,0.49788,0.4,0.094532,0,0,0.691994,0.526025,0
D03012,0.090909,0.381818,0.125,0.280755,0.760716,0.493245,0.45,0.300733,0,0,0.598027,0.590782,0
D03034,0.272727,0.136364,0,0.300292,0.34828,0.821104,0.1,0.178907,0,0,0.175488,0.115114,0
D03077,0.272727,0.218182,0,0.414122,0.395146,0.698051,0.45,0.258002,0,0,0.566263,0.524245,0
D03115,0.090909,0.154545,0.125,0.57264,0.527812,0.540902,0.35,0.120883,0,0.25,0.633044,0.497119,0
D03218,0.090909,0.154545,0.125,0.602828,0.502752,0.54443,0.6,0.225498,0,0.5,0.743266,0.531167,0
D03350,0.090909,0.227273,0,0.597117,0.426349,0,0.5,0.309641,0,0.5,0.674883,0.558695,0
D03433,0.090909,0.190909,0,0.524823,0.377843,0.807267,0.05,0.10931,0,0,0.353865,0.468617,0
D03440,0.272727,0.3,0,0.371942,0.383831,0.712594,0.3,0.309866,0,0,0.442396,0.499943,0
D03601,0.090909,0.2,0,0.410459,0.619332,0.666631,0.1,0.098193,0,0,0.337177,0.437103,0
D03643,0.090909,0.272727,0,0.519151,0.717443,0.498416,0.3,0.179809,0,0,0.61184,0.570887,0
D03670,0.090909,0.436364,0,0.534911,0.392058,0.798422,0.25,0.63277,0,0,0.368364,0.431334,0
D03689,0.090909,0.118182,0.125,0.575126,0.371261,0.497271,0.5,0.184131,0,0.25,0.793686,0.555517,0
D03710,0.090909,0.127273,0.125,0.609843,0.426349,0,0.55,0.155479,0,0.5,0.680347,0.517449,0
D03712,0.090909,0.172727,0.125,0.549147,0.538241,0.574051,0.35,0.120163,0,0,0.594039,0.550144,1
D03714,0.181818,0.109091,0,0.599055,0.426349,0,0.35,0.145146,0,0,0.545584,0.444277,0
D03716,0.090909,0.154545,0.125,0.52268,0.613366,0.569201,0.55,0.189744,0,0.25,0.764977,0.538904,0
D03717,0.090909,0.154545,0.125,0.52268,0.613366,0.569201,0.55,0.189744,0,0.25,0.764977,0.538904,0
D03720,0.090909,0.2,0,0.623801,0.426349,0,0.65,0.226926,0,0.25,0.733485,0.645888,0
D03722,0.090909,0.290909,0,0.439531,0.358069,0.671188,0.35,0.328042,0.5,0,0.470147,0.495337,0
D03728,0.181818,0.3,0.125,0.417645,0.446438,0.61666,0.55,0.334427,0.5,0,0.603782,0.603877,1
D03731,0.090909,0.154545,0,0.785601,0.314496,0.576279,0.15,0.122786,0,0,0.366905,0.276604,0
D03733,0.090909,0.118182,0,0.528513,0.369656,0.493851,0.2,0.122786,0,0,0.387504,0.270702,0
D03734,0.090909,0.518182,0,0.473228,0.861915,0.545597,0.45,0.384801,0,0,0.677041,0.654311,0
D03735,0.090909,0.354545,0.125,0.401764,0.427716,0.599709,0.6,0.468478,0,0.25,0.644768,0.576195,0
D03736,0.090909,0.336364,0,0.55691,0.568946,0.587585,0.55,0.321954,0,0.25,0.677257,0.613187,0
D03738,0.090909,0.509091,0,0.486224,0.487251,0.710371,0.4,0.501662,0,0.25,0.555451,0.58979,0
D03741,0.090909,0.672727,0,0.422345,0.568304,0.670993,0.7,0.737532,0,0.5,0.583342,0.680488,0
D03743,0.090909,0.427273,0.125,0.469682,0.289029,0.697203,0.35,0.489223,0,0,0.503604,0.564576,0
D03751,0.090909,0.227273,0,0.688933,0.400471,0.639984,0.4,0.190098,0,0.25,0.678475,0.555582,0
D03752,0.181818,0.272727,0,0.444312,0.463109,0.65793,0.45,0.30084,0,0,0.565744,0.544522,0
D03753,0.181818,0.290909,0,0.393463,0.503055,0.776288,0.15,0.230056,0,0,0.416241,0.527413,0
D03756,0.181818,0.309091,0,0.469839,0.442717,0.719019,0.3,0.281569,0,0,0.481771,0.555126,0
D03758,0.272727,0.236364,0,0.387204,0.454078,0.742781,0.3,0.245783,0,0,0.534625,0.497154,0
D03760,0.181818,0.2,0,0.407686,0.617986,0.645331,0.3,0.192063,0,0,0.524999,0.516703,0
D03763,0.181818,0.236364,0.125,0.403534,0.61991,0.64826,0.15,0.182867,0,0,0.327602,0.438625,0
D03765,0.181818,0.272727,0.25,0.479327,0.576132,0.633585,0.3,0.267346,0,0,0.476281,0.56201,0
D03767,0.181818,0.2,0.25,0.472929,0.423258,0.605084,0.45,0.258002,0,0,0.524161,0.51904,0
D03769,0.272727,0.218182,0,0.386831,0.442256,0.743203,0.3,0.225953,0,0,0.442396,0.471261,0
D03772,0.272727,0.3,0,0.488966,0.27108,0.722678,0.3,0.262577,0,0,0.46749,0.529463,0
D03773,0.272727,0.236364,0,0.417084,0.43768,0.674433,0.45,0.262577,0,0,0.561385,0.536162,0
D03775,0.272727,0.236364,0.25,0.409297,0.554903,0.654593,0.3,0.230713,0,0,0.476895,0.554381,0
D03776,0.181818,0.163636,0.25,0.532277,0.363017,0.597886,0.25,0.16379,0,0,0.451798,0.462527,0
D03778,0.090909,0.109091,0,0.694454,0.335392,0.544866,0.25,0.092205,0,0.25,0.582926,0.449793,0
D03781,0.090909,0.109091,0,0.630041,0.426349,0,0.45,0.132863,0,0.5,0.637275,0.516051,0
D03784,0.090909,0.109091,0,0.630041,0.426349,0,0.45,0.132863,0,0.5,0.637275,0.516051,0
D03787,0.090909,0.136364,0.125,0.46451,0.583482,0.53502,0.25,0.110422,0,0,0.554816,0.50813,0
D03788,0.181818,0.190909,0.125,0.339928,0.676888,0.576928,0.55,0.248877,0,0,0.603827,0.530442,0
D03798,0.090909,0.1,0,0.473639,0.512462,0.554793,0.5,0.151325,0,0,0.672336,0.563253,0
D03803,0.181818,0.090909,0.125,0.614793,0.548869,0.500878,0.45,0.157572,0,0.25,0.758378,0.576581,0
D03805,0.090909,0.090909,0,0.620284,0.426349,0,0.5,0.161126,0,0,0.640037,0.631959,0
D03806,0.181818,0.1,0,0.615728,0.426349,0,0.45,0.16669,0,0,0.615899,0.521505,0
D03807,0.181818,0.090909,0,0.614072,0.426349,0,0.45,0.178233,0,0,0.603137,0.556737,0
D03816,0.181818,0.354545,0,0.458313,0.545282,0.647372,0.2,0.267346,0,0,0.502889,0.551863,0
D03822,0.090909,0.2,0,0.381109,0.660319,0.453725,0.2,0.151402,0,0,0.439496,0.378816,0
D03823,0.090909,0.245455,0,0.454553,0.618291,0.467549,0.35,0.152631,0,0,0.637071,0.625861,0
D03826,0.090909,0.190909,0,0.380505,0.722257,0.430844,0.2,0.0922,0,0,0.575424,0.567977,0
D03828,0.272727,0.181818,0,0.327646,0.523614,0.597482,0.5,0.267346,0,0,0.620951,0.542166,0
D03829,0.181818,0.245455,0,0.347719,0.532964,0.716654,0.15,0.202343,0.5,0,0.37337,0.500513,0
D03882,0.090909,0.227273,0,0.602753,0.54055,0.545308,0.2,0.27917,0,0,0.450838,0.436409,0
D03899,0.090909,0.263636,0,0.587374,0.579728,0.561283,0.45,0.258462,0,0,0.744788,0.697822,0
D04024,0.090909,0.236364,0.125,0.606884,0.426349,0,0.75,0.339731,0,0.5,0.717383,0.599009,0
D04025,0.090909,0.2,0,0.578911,0.491831,0.44763,0.55,0.309641,0,0.75,0.652575,0.525068,0
D04028,0.090909,0.472727,0,0.48639,0.321432,0.736268,0.15,0.508008,0,0,0.4018,0.483801,0
D04029,0.090909,0.181818,0,0.566751,0.70519,0.489796,0.6,0.271545,0,0.75,0.823035,0.640359,0
D04031,0.090909,0.127273,0,0.543274,0.660031,0.562755,0.5,0.151223,0,0.25,0.79857,0.659662,0
D04197,0.090909,0.090909,0,0.486063,0.357198,0.593646,0.15,0.092205,0,0,0.392188,0.449188,0
D04292,0.090909,0.190909,0,0.676179,0.507686,0.494681,0.2,0.090837,0,0,0.631973,0.594678,0
D04966,0.090909,0.090909,0,0.168159,0.795724,0.265702,0.1,0.054898,1,0,0.097607,0.114491,0
D04983,0.181818,0.1,0.125,0.315703,0.12126,0.792672,0.05,0.079306,0,0,0.078214,0.07995,0
D05341,0.181818,0.281818,0,0.401587,0.158122,0.795886,0.05,0.350573,0,0,0.211681,0.164569,0
D05407,0.090909,0.127273,0,0.445456,0.437371,0.576751,0.2,0.121734,0,0.25,0.508451,0.443793,0
D05458,0.090909,0.136364,0,0.482097,0.640639,0.62153,0.15,0.046404,0,0,0.310985,0.252152,0
D06238,0.090909,0.2,0,0.486429,0.747418,0.425865,0.4,0.207446,0,0.5,0.689882,0.546864,0
